quantity,unit,ingredient,ingredient_step,recipe_id
15.0,ml,"blue curaçao """,2,107
60.0,ml,highland malt scotch,0,109
22.5,ml,sweet vermouth,1,109
15.0,ml,benedictine,2,109
60.0,ml,amaretto,0,110
120.0,ml,orange juice,1,110
60.0,ml,chilled club soda,2,110
,None,orange slice,3,110
45.0,ml,light rum,0,112
22.5,ml,calvados,1,112
0.5,tsp,sweet vermouth,2,112
,None,lime wedge,0,114
,None,salt,1,114
45.0,ml,silver tequila,2,114
30.0,ml,midori liqueur,3,114
15.0,ml,harlequin orange liqueur,4,114
15.0,ml,lime juice,5,114
1.0,tbsp,sugar,6,114
,None,lemon twist,7,114
45.0,ml,cachaça,0,115
30.0,ml,frangelico,1,115
15.0,ml,cointreau,2,115
22.5,ml,lime juice,3,115
22.5,ml,cranberry juice,4,115
1.0,tbsp,honey,5,115
2.0,None,cranberries,6,115
,None,lime wedge,7,115
45.0,ml,gin,0,116
45.0,ml,apricot brandy,1,116
22.5,ml,lemon juice,2,116
,dash,grenadine,3,116
45.0,ml,bourbon,0,118
30.0,ml,campari,1,118
30.0,ml,sweet vermouth,2,118
60.0,ml,bourbon or rye,0,120
30.0,ml,campari,1,120
30.0,ml,sweet vermouth,2,120
,None,lemon wedge,0,121
60.0,ml,bourbon,1,121
150.0,ml,chilled ginger ale,2,121
,None,lemon wedge,0,122
,None,sugar,1,122
,None,lemon twist,2,122
60.0,ml,bourbon,3,122
15.0,ml,cointreau,4,122
22.5,ml,lemon juice,5,122
60.0,ml,bourbon,0,123
15.0,ml,dark crème de cacao,1,123
120.0,ml,milk,2,123
,dash,vanilla extract,3,123
0.25,tsp,ground cinnamon,4,123
,None,freshly grated or ground nutmeg,5,123
75.0,ml,bourbon,0,124
15.0,ml,southern comfort,1,124
22.5,ml,lemon juice,2,124
180.0,ml,chilled club soda,3,124
,None,lemon wedge,4,124
60.0,ml,bourbon,0,125
15.0,ml,apricot brandy,1,125
22.5,ml,lemon juice,2,125
180.0,ml,chilled ginger ale,3,125
,None,lemon wedge,4,125
60.0,ml,bourbon,0,126
30.0,ml,dark crème de cacao,1,126
2.0,None,vanilla beans or 1/2 teaspoon vanilla extract,2,126
40.0,ml,gin,0,128
22.5,ml,lemon juice,1,128
10.0,ml,sugar,2,128
15.0,ml,blackberry liqueur,3,128
5.0,None,blackberries,0,129
1.0,tsp,sugar,1,129
30.0,ml,lime juice,2,129
45.0,ml,gin,3,129
15.0,ml,crème de mûre,4,129
120.0,ml,chilled club soda,5,129
,None,lime wedge,6,129
45.0,ml,cruzan single barrel rum,0,130
22.5,ml,b&b,1,130
45.0,ml,lemon wedge,2,130
1.0,tsp,egg white,3,130
2.0,dash,angostura orange bitters,4,130
45.0,ml,gold tequila,0,131
30.0,ml,kahlúa,1,131
30.0,ml,rye,0,132
30.0,ml,applejack,1,132
22.5,ml,curaao,2,132
22.5,ml,lemon juice,3,132
60.0,ml,beefeater gin,0,133
22.5,ml,orange juice,1,133
15.0,ml,dolin dry vermouth,2,133
15.0,ml,carpano antica sweet vermouth,3,133
60.0,ml,gin,0,134
7.5,ml,sweet vermouth,1,134
7.5,ml,dry vermouth,2,134
30.0,ml,orange juice,3,134
60.0,ml,gin,0,135
7.5,ml,sweet vermouth,1,135
7.5,ml,dry vermouth,2,135
30.0,ml,orange juice,3,135
45.0,ml,gin,0,136
7.5,ml,sweet vermouth,1,136
7.5,ml,dry vermouth,2,136
45.0,ml,orange juice,3,136
45.0,ml,gin,0,138
22.5,ml,orange juice,1,138
1.0,tsp,french vermouth,2,138
1.0,tsp,italian vermouth,3,138
60.0,ml,rittenhouse rye whisky,0,142
22.5,ml,dolin dry vermouth,1,142
7.5,ml,luxardo maraschino liqueur,2,142
7.5,ml,amer picon,3,142
60.0,ml,rye whisky,0,144
22.5,ml,dry vermouth,1,144
2.0,tsp,maraschino liqueur,2,144
2.0,tsp,torani amer,3,144
60.0,ml,rye whisky,0,146
30.0,ml,dolin dry vermouth,1,146
7.5,ml,luxardo maraschino liqueur,2,146
7.5,ml,bigallet china china amer,3,146
1.0,drop,angostura bitters,4,146
45.0,ml,rye,0,147
22.5,ml,sweet vermouth,1,147
,dash,maraschino liqueur,2,147
,None,lemon twist,3,147
60.0,ml,bourbon,0,149
30.0,ml,grapefruit juice,1,149
15.0,ml,honey,2,149
60.0,ml,bourbon,0,150
30.0,ml,grapefruit,1,150
15.0,ml,honey,2,150
60.0,ml,makers mark bourbon,0,151
30.0,ml,grapefruit juice,1,151
22.5,ml,honey,2,151
60.0,ml,8 or 15-year el dorado rum,0,153
7.5,ml,demerara simple syrup,1,153
30.0,ml,amaretto,0,154
30.0,ml,baileys irish cream,1,154
30.0,ml,tia maria,2,154
60.0,ml,heavy cream,3,154
60.0,ml,butterscotch schnapps,0,155
45.0,ml,baileys irish cream,1,155
180.0,ml,milk,2,155
15.0,ml,chocolate syrup,3,155
60.0,ml,good-quality reposado tequila,0,156
30.0,ml,grand marnier,1,156
30.0,ml,lime juice,2,156
,None,lime peel spiral,3,156
30.0,ml,sambuca,0,157
30.0,ml,kahlúa or tia maria,1,157
30.0,ml,heavy cream,2,157
30.0,ml,famous grouse blended scotch whiskey,0,160
30.0,ml,jameson irish whiskey,1,160
22.5,ml,lemon juice,2,160
15.0,ml,kassatly chtaura orgeat,3,160
30.0,ml,scotch whiskey,0,161
30.0,ml,irish whiskey,1,161
22.5,ml,lemon juice,2,161
22.5,ml,orgeat,3,161
60.0,ml,canadian blended whisky,0,163
15.0,ml,cointreau,1,163
1.0,tsp,simple syrup,2,163
2.0,dash,angostura bitters,3,163
30.0,ml,white crème de cacao,0,166
30.0,ml,crème de banane,1,166
30.0,ml,heavy cream,2,166
45.0,ml,gin,0,167
15.0,ml,limoncello,1,167
7.5,ml,peach schnapps,2,167
30.0,ml,grapefruit juice,3,167
30.0,ml,mango juice,4,167
,dash,orgeat  syrup,5,167
30.0,ml,gold or dark rum,0,170
30.0,ml,crème de banane,1,170
15.0,ml,apricot brandy,2,170
22.5,ml,lemon juice,3,170
,dash,sloe gin,4,170
,None,banana slice,5,170
30.0,ml,gin,0,171
30.0,ml,crème de banane,1,171
30.0,ml,blue curaçao,2,171
22.5,ml,lemon juice,3,171
15.0,ml,heavy cream,4,171
,dash,grenadine,5,171
,None,orange slice,6,171
,None,maraschino cherry,7,171
75.0,ml,light rum,0,172
15.0,ml,cointreau,1,172
15.0,ml,maraschino liqueur,2,172
15.0,ml,lime juice,3,172
45.0,ml,bourbon,0,173
22.5,ml,sweet marsala,1,173
22.5,ml,kahlúa,2,173
30.0,ml,heavy cream,3,173
40.0,ml,old tom gin,0,174
10.0,ml,marachino,1,174
10.0,ml,orange bitters,2,174
22.5,ml,lemon juice,3,174
45.0,ml,gold rum,0,175
22.5,ml,calvados,1,175
45.0,ml,orange juice,2,175
30.0,ml,lime juice,3,175
1.0,tsp,sugar,4,175
,None,lime wedge,5,175
45.0,ml,gold rum,0,176
22.5,ml,white rum,1,176
7.5,ml,tia maria,2,176
7.5,ml,triple sec,3,176
45.0,ml,lime juice,4,176
,dash,grenadine,5,176
,None,mint sprig,6,176
90.0,ml,chilled champagne,0,177
10.0,ml,cognac,1,177
2.0,dash,angostura bitters,2,177
1.0,None,sugar,3,177
45.0,ml,cognac,0,178
22.5,ml,lemon juice,1,178
15.0,ml,green chartreuse,2,178
15.0,ml,simple syrup,3,178
2.0,dash,angostura bitters,4,178
60.0,ml,hine vsop cognac,0,179
22.5,ml,lemon juice,1,179
15.0,ml,green chartreuse,2,179
7.5,ml,simple syrup,3,179
1.0,dash,angostura bitters,4,179
3.0,None,glasses cognac,0,180
1.0,None,glass chartreuse,1,180
22.5,ml,lemon juice,2,180
1.0,dash,angostura bitters,3,180
45.0,ml,cognac,0,181
15.0,ml,green chartreuse,1,181
22.5,ml,lemon juice,2,181
3.75,ml,simple syrup,3,181
2.0,dash,angostura bitters,4,181
45.0,ml,silver tequila,0,182
0.5,tsp,cointreau,1,182
30.0,ml,orange juice,2,182
22.5,ml,lemon juice,3,182
7.5,ml,grenadine,4,182
,None,orange slice,5,182
30.0,ml,apricot brandy,0,183
30.0,ml,sloe gin,1,183
